股票代號,股票名稱,標的分類,2026_EPS共識區間,目標PE區間,Bull樂觀情境,Base基準情境,Bear悲觀情境,核心營運催化劑,法說研報摘要註記,最後更新日期
2330,台積電,A類-基本面驅動,52.0 ~ 56.0 元,20.0 ~ 25.0 倍,2nm/3nm 先進製程全產能滿載，CoWoS 先進封裝產能吃緊至 2027，AI 長線核心,全年營收維持年增 25%，毛利率穩於 53% 以上,海外建廠成本稀釋毛利率，地緣政治與關稅風險,季報公布毛利率與先進封裝產能進度 ; 下半年先進封裝新廠投產狀況,法說會管理層重申 AI 晶片需求強勁，多頭定海神針續抱,2026-09-06
1513,中興電,A類-基本面驅動,8.5 ~ 10.0 元,18.0 ~ 22.0 倍,強韌電網計畫與美國重電外銷訂單超預期認列，能見度直達 2027,在手訂單維持高檔，重電產能滿載,建廠產能開出延後，料件交期延長,台電強韌電網新標案認列進度 ; 外銷高壓 GIS 設備出貨量,重電產能滿載，160~175 元大箱型整理，基本面強勁,2026-09-06
6282,康舒,混合型,2.5 ~ 3.5 元,15.0 ~ 20.0 倍,併購 Omni-On 效應發揮，高階 AI 伺服器電源出貨大增,車用與消費性電源回溫，毛利率待跟上,併購磨合期費用偏高，成交量萎縮低檔無量磨底,高階 AI 伺服器電源客戶認證進度 ; 單季毛利率是否重回 20% 以上,併購 Omni-On 營收創高，守 38.8 元大底觀望，反彈 48~52 元減碼,2026-09-06
2317,鴻海,A類-基本面驅動,14.0 ~ 16.5 元,15.0 ~ 18.0 倍,GB200 AI 機櫃垂直整合完整，美系大客戶出貨動能強勁,消費性電子旺季拉回，AI 伺服器營收比重超過 40%,全球供應鏈地緣政治配置成本增加,GB200 NVL72 量產出貨進度 ; AI 伺服器營收占比提升速度,GB200 垂直整合完整，營收持續放大，長線續抱無虞,2026-09-06
2603,長榮,A類-基本面驅動,28.0 ~ 35.0 元,7.0 ~ 9.0 倍,地緣政治紅海危機繞道支撐運價，Q3 旺季高獲利與高現金流,低本益比與高殖利率提供強大保護墊,新船交付供給增加，地緣政治緩解致運價回落,SCFI 運價指數走勢 ; 第三季單季獲利與現金股利指引,運價支撐與低本益比優勢，強勢多頭續抱，防守線看 230 元,2026-09-06
2615,萬海,A類-基本面驅動,12.0 ~ 16.0 元,8.0 ~ 10.0 倍,亞洲區間運價大漲與美西線高彈性，單季獲利爆發力極強,主升段動能強勁，創 52 週新高,近洋運價波動大，旺季結束後拉回整理,美西線與亞洲區間航線運價變化 ; 單月營收年增率,主升段強勢攻勢，移動停利調升至 105 元，跌破收盤減碼,2026-09-06
2618,長榮航,A類-基本面驅動,4.2 ~ 5.0 元,8.5 ~ 10.5 倍,暑期客運旺季滿載 + 高階貨運需求強勁，本益比低於 9 倍極度超低估,配息穩定，高殖利率防禦強,油價飆漲增加營運成本，客運票價小幅回落,客運載客率與高階電商貨運運價 ; 航空燃油價格走勢,超低估值（PE < 9倍），零股/持股抱領息，守穩 40.5 元支撐,2026-09-06
2449,京元電子,A類-基本面驅動,8.5 ~ 10.5 元,22.0 ~ 26.0 倍,AI 晶片與 GPU 先進測試需求爆發，出售中國廠聚焦高毛利 AI 測試,產能滿載，單月營收持續創高,短線獲利了結賣壓回測月線,美系 AI 晶片測試預約產能認列 ; 單季毛利率突破 38%,AI 晶片測試需求爆發，守穩 220 元月線波段續抱，可分批落袋 1/3,2026-09-06
2327,國巨,A類-基本面驅動,48.0 ~ 55.0 元,12.0 ~ 15.0 倍,車用、工控與 AI 特殊被動元件比重超過 75%，積層電容價格落底回升,併購效益持續發揮，獲利穩健,消費性被動元件復甦緩慢,特殊品被動元件接單比重 ; 高階 MLCC 出貨量,帶量強彈收復 550 元關卡，守穩 540 元維持偏多續抱,2026-09-06
3037,欣興,A類-基本面驅動,10.0 ~ 13.0 元,15.0 ~ 20.0 倍,ABF 高階載板與黑神話/AI 伺服器需求回溫，26Q2 毛利回升,短線遭遇司法搜尋與產地爭議，籌碼利空磨底,檢調搜索沉重拋售賣壓，融資多殺多未沈澱,司法檢調事件合規性澄清公告 ; 高階 ABF 載板營收佔比,"避開/持股減碼防守，嚴守 1,070 元長黑低點，破線果斷減碼",2026-09-06
2481,強茂,混合型,3.2 ~ 4.2 元,16.0 ~ 20.0 倍,功率元件、MOSFET 轉型車用與邊緣 AI 視覺，Q2 EPS 翻倍成長,7 月營收年增 31%，營運進攻前高,消費性車用成熟品競爭加劇,高壓 MOSFET 車用客戶認證 ; 收盤帶量突破 139.5 元前高,高檔強勢蓄勢，帶量站上 139.5 元確認波段突破，防守調升至 130 元,2026-09-06
2881,富邦金,A類-基本面驅動,9.5 ~ 11.5 元,12.0 ~ 14.0 倍,金控獲利王，壽險與銀行雙引擎累計 EPS 創歷史新高，降息受惠,配息穩健，資產評價回升,新台幣升值致匯兌避險成本上升,美國聯準會降息時程與壽險避險成本 ; 每月金控自結稅後 EPS,金控獲利王攻勢凌厲，強勢續抱，移動停利守 5MA（約 127 元）,2026-09-06
